,0
882,suv
883,suv
884,suv
885,suv
886,suv
887,hatchback
888,hatchback
889,sedan
890,universal
891,suv
892,suv
893,hatchback
894,hatchback
895,sedan
896,hatchback
897,sedan
898,sedan
899,hatchback
900,suv
901,suv
902,suv
903,suv
904,hatchback
905,suv
906,suv
907,suv
908,universal
909,sedan
910,sedan
911,suv
912,universal
913,hatchback
914,suv
915,hatchback
916,minivan
917,suv
918,sedan
919,suv
920,sedan
921,suv
922,suv
923,suv
924,sedan
925,minivan
926,suv
927,suv
928,sedan
929,minivan
930,nan
931,universal
932,hatchback
933,hatchback
934,sedan
935,sedan
936,hatchback
937,hatchback
938,suv
939,suv
940,hatchback
941,sedan
942,minivan
943,sedan
944,minivan
945,hatchback
946,suv
947,suv
948,suv
949,minivan
950,hatchback
951,suv
952,hatchback
953,suv
954,hatchback
955,hatchback
956,sedan
957,suv
958,suv
959,sedan
960,suv
961,universal
962,nan
963,universal
964,suv
965,suv
966,sedan
967,suv
968,suv
969,sedan
970,sedan
971,suv
972,hatchback
973,hatchback
974,hatchback
975,sedan
976,sedan
977,minivan
978,sedan
979,sedan
980,suv
981,sedan
982,minivan
983,minivan
984,sedan
985,sedan
986,hatchback
987,universal
988,suv
989,minivan
990,sedan
991,minivan
992,sedan
993,suv
994,hatchback
995,sedan
996,hatchback
997,minivan
998,universal
999,suv
1000,sedan
1001,hatchback
1002,minivan
1003,hatchback
1004,sedan
1005,sedan
1006,suv
1007,hatchback
1008,suv
1009,suv
1010,universal
1011,universal
1012,sedan
1013,minivan
1014,sedan
1015,sedan
1016,universal
1017,suv
1018,suv
1019,sedan
1020,hatchback
1021,hatchback
1022,hatchback
1023,nan
1024,universal
1025,sedan
1026,minivan
1027,sedan
1028,suv
1029,sedan
1030,sedan
1031,minivan
1032,suv
1033,universal
1034,universal
1035,minivan
1036,minivan
1037,suv
1038,hatchback
1039,suv
1040,hatchback
1041,suv
1042,minivan
1043,minivan
1044,suv
1045,minivan
1046,suv
1047,suv
1048,suv
1049,sedan
1050,sedan
1051,suv
1052,hatchback
1053,suv
1054,nan
1055,hatchback
1056,suv
1057,suv
1058,sedan
1059,hatchback
1060,minivan
1061,suv
1062,suv
1063,suv
1064,suv
1065,sedan
1066,universal
1067,minivan
1068,hatchback
1069,sedan
1070,hatchback
1071,suv
1072,hatchback
1073,hatchback
1074,suv
1075,nan
1076,suv
1077,suv
1078,suv
1079,suv
1080,hatchback
1081,hatchback
1082,universal
1083,suv
1084,hatchback
1085,minivan
1086,hatchback
1087,sedan
1088,suv
1089,suv
1090,suv
1091,sedan
1092,hatchback
1093,suv
1094,suv
1095,hatchback
1096,suv
1097,hatchback
1098,universal
1099,sedan
1100,minivan
1101,suv
1102,minivan
1103,hatchback
1104,suv
1105,sedan
1106,sedan
1107,suv
1108,sedan
1109,sedan
1110,sedan
1111,universal
1112,sedan
1113,suv
1114,sedan
1115,sedan
1116,suv
1117,suv
1118,sedan
1119,sedan
1120,universal
1121,hatchback
1122,suv
1123,suv
1124,universal
1125,sedan
1126,suv
1127,minivan
1128,sedan
1129,suv
1130,sedan
1131,hatchback
1132,suv
1133,suv
1134,universal
1135,sedan
1136,minivan
1137,suv
1138,minivan
1139,suv
1140,suv
1141,sedan
1142,suv
1143,suv
1144,hatchback
1145,suv
1146,suv
1147,hatchback
1148,suv
1149,suv
1150,hatchback
1151,suv
1152,sedan
1153,suv
1154,suv
1155,universal
1156,sedan
1157,hatchback
1158,sedan
1159,sedan
1160,hatchback
1161,suv
1162,suv
1163,universal
1164,suv
1165,hatchback
1166,suv
1167,sedan
1168,suv
1169,suv
1170,sedan
1171,suv
1172,hatchback
1173,suv
1174,suv
1175,sedan
1176,suv
1177,sedan
1178,sedan
1179,sedan
1180,suv
1181,universal
1182,hatchback
1183,minivan
1184,suv
1185,suv
1186,suv
1187,minivan
1188,sedan
1189,universal
1190,suv
1191,suv
1192,suv
1193,suv
1194,sedan
1195,hatchback
1196,suv
1197,universal
1198,hatchback
1199,sedan
1200,suv
1201,suv
1202,nan
1203,suv
1204,hatchback
1205,sedan
1206,suv
1207,sedan
1208,hatchback
1209,suv
1210,minivan
1211,sedan
1212,sedan
1213,nan
1214,hatchback
1215,hatchback
1216,suv
1217,suv
1218,suv
1219,universal
1220,suv
1221,suv
1222,hatchback
1223,suv
1224,universal
1225,universal
1226,hatchback
1227,hatchback
1228,hatchback
1229,sedan
1230,suv
1231,sedan
1232,suv
