,0,1
477,44,5
478,25,2
479,65,5
480,182,5
481,11,3
482,9,4
483,4,4
484,30,4
485,38,5
486,19,4
487,114,4
488,213,4
489,49,4
490,38,5
491,1,5
492,10,5
493,42,5
494,88,4
495,63,3
496,124,5
497,11,4
498,162,4
499,74,2
500,10,5
501,6,5
502,267,5
503,87,3
504,5,3
505,3,5
506,86,4
507,9,4
508,3,3
509,27,4
510,95,4
511,56,2
512,24,3
513,70,5
514,88,5
515,56,5
516,64,4
517,33,5
518,33,5
519,2,5
520,84,4
521,19,4
522,19,5
523,175,5
524,21,4
525,3,3
526,46,4
527,91,5
528,84,5
529,91,5
530,27,5
531,61,4
532,4,5
533,3,5
534,78,2
535,162,5
536,12,5
537,87,4
538,53,3
539,44,2
540,37,4
541,69,3
542,6,2
543,10,2
544,33,5
545,87,2
546,9,5
547,9,5
548,13,2
549,55,3
550,117,5
551,40,2
552,4,5
553,151,5
554,5,5
555,1151,5
556,133,2
557,61,5
558,220,5
559,105,5
560,10,4
561,272,5
562,52,1
563,5,2
564,167,5
565,15,3
566,6,5
567,40,5
568,12,4
569,76,2
570,42,3
571,292,2
572,14,3
573,148,5
574,33,5
575,509,5
576,8,2
577,55,5
578,123,5
579,7,4
580,45,5
581,36,2
582,70,3
583,77,5
584,21,5
585,82,1
586,7,3
587,9,5
588,117,5
589,8,5
590,9,4
591,16,3
592,68,3
593,9,5
594,69,5
595,43,4
596,24,4
597,91,5
598,85,4
599,117,2
600,19,4
601,11,4
602,238,5
603,11,5
604,14,5
605,94,4
606,55,3
607,16,4
608,123,4
609,11,4
610,11,2
611,123,5
612,55,2
613,114,5
614,63,4
615,12,3
616,63,4
617,252,4
618,70,5
619,27,4
620,108,5
621,146,4
622,58,4
623,94,2
624,80,5
625,26,5
626,26,3
627,15,3
628,19,2
629,16,5
630,58,5
631,17,1
632,69,3
633,19,4
634,38,5
635,18,2
636,19,4
637,164,4
638,21,5
639,57,4
640,21,1
641,117,5
642,50,5
643,164,5
644,23,5
645,51,3
646,89,5
647,101,4
648,42,5
649,235,3
650,117,4
651,25,5
652,113,4
653,198,5
654,27,3
655,186,5
656,30,3
657,29,5
658,68,5
659,202,4
660,34,5
661,32,5
662,61,4
663,101,5
664,66,5
665,38,4
666,58,5
667,43,3
668,39,4
669,41,5
670,43,4
671,57,5
672,55,5
673,395,5
674,109,5
675,69,5
676,90,3
677,57,5
678,70,3
679,67,5
680,60,2
681,110,4
682,108,5
683,64,5
684,57,4
685,63,3
686,59,5
687,77,5
688,60,5
689,61,3
690,61,5
691,96,3
692,62,5
693,78,4
694,192,5
695,72,3
696,66,4
697,66,4
698,66,1
699,89,4
700,69,5
701,83,5
702,74,5
703,76,4
704,76,5
705,77,3
706,78,5
707,83,5
708,84,4
709,88,5
710,89,5
711,90,4
712,90,5
713,91,5
714,95,5
715,117,5
716,133,5
717,133,4
718,133,5
719,138,2
720,138,4
721,151,4
722,155,1
723,156,4
724,157,5
725,159,5
726,161,5
727,165,1
728,173,5
729,174,5
730,229,5
731,278,5
732,294,2
733,81,2
734,36,5
735,75,5
736,197,4
737,13,2
738,129,5
739,1,5
740,31,4
741,1,5
742,33,3
743,15,3
744,77,5
745,73,5
746,27,4
747,87,5
748,54,5
749,88,5
750,125,4
751,18,4
752,613,5
753,113,5
754,12,3
755,59,3
756,23,4
757,5,4
758,108,3
759,88,4
760,207,4
761,197,4
762,81,5
763,81,5
764,81,4
765,93,5
766,372,5
767,30,4
768,89,4
769,81,5
770,89,5
771,13,4
772,21,5
773,188,4
774,15,3
775,88,3
776,49,5
777,57,3
778,29,2
779,19,4
780,17,2
781,23,5
782,42,5
783,887,2
784,26,5
785,71,5
786,39,5
787,46,5
788,462,3
789,39,4
790,41,4
791,48,3
792,74,5
793,51,3
794,53,5
795,57,4
796,253,5
797,60,5
798,69,1
799,64,5
800,70,4
801,65,3
802,70,5
803,223,3
804,75,4
805,102,2
806,90,4
807,101,5
808,8,5
809,1,4
810,25,4
811,35,4
812,8,5
813,57,4
814,2,1
815,42,5
816,11,4
817,0,5
818,247,5
819,46,3
820,14,5
821,16,5
822,16,5
823,12,2
824,113,5
825,16,5
826,30,3
827,25,5
828,12,5
829,1,5
830,18,1
831,52,4
832,91,3
833,48,4
834,7,5
835,0,5
836,61,5
837,79,5
838,21,5
839,569,5
840,14,4
841,32,5
842,18,2
843,97,5
844,57,5
845,17,3
846,8,5
847,24,2
848,9,5
849,2,5
850,29,2
851,19,2
852,2,4
853,2,4
854,2,4
855,2,5
856,2,4
857,2,4
858,4,4
859,7,5
860,41,2
861,7,4
862,34,5
863,5,4
864,52,4
865,15,5
866,74,3
867,59,5
868,96,4
869,18,2
870,6,4
871,6,4
872,7,4
873,30,4
874,31,5
875,64,5
876,0,3
877,58,4
878,20,5
879,10,2
880,104,4
881,5,5
882,37,2
883,90,4
884,21,2
885,159,5
886,63,4
887,81,4
888,23,5
889,57,5
890,30,5
891,9,4
892,32,5
893,82,4
894,11,5
895,26,5
896,16,5
897,21,5
898,24,2
899,19,5
900,5,5
901,5,4
902,85,3
903,607,2
904,17,5
905,28,4
906,28,4
907,39,5
908,89,4
909,11,5
910,28,5
911,19,4
912,24,4
913,17,4
914,88,3
915,5,3
916,4,5
917,7,5
918,58,3
919,148,5
920,53,5
921,57,5
922,19,5
923,74,4
924,21,5
925,21,5
926,24,4
927,88,4
928,32,5
929,7,4
930,6,3
931,23,4
932,5,4
933,14,4
934,79,5
935,250,4
936,69,4
937,64,1
938,27,5
939,72,3
940,8,5
941,2,2
942,6,1
943,9,5
944,67,5
945,2,4
946,46,5
947,52,5
948,7,4
949,9,4
950,45,5
951,1,4
952,1,4
953,1,5
954,26,5
955,9,4
956,133,1
957,15,4
958,95,2
959,150,5
960,96,5
961,56,5
962,64,5
963,80,5
964,1,4
965,58,5
966,289,5
967,67,5
968,187,4
969,2,4
970,2,4
971,15,5
972,9,1
973,1,2
974,41,4
975,3,5
976,20,5
977,13,5
978,20,2
979,62,5
980,35,2
981,5,5
982,709,5
983,57,4
984,20,3
985,125,3
986,52,2
987,44,5
988,3,5
989,29,5
990,59,4
991,105,5
992,180,4
993,43,3
994,1,2
995,60,3
996,88,4
997,240,5
998,13,3
999,2,3
1000,38,4
1001,11,5
1002,85,5
1003,15,5
1004,23,3
1005,3,4
1006,68,4
1007,42,4
1008,52,4
1009,202,3
1010,18,3
1011,32,5
1012,1,3
1013,1,5
1014,60,4
1015,42,5
1016,22,3
1017,84,4
1018,53,4
1019,91,4
1020,65,5
1021,5,5
1022,150,5
1023,25,2
1024,111,5
1025,58,4
1026,276,4
1027,23,5
1028,82,5
1029,88,5
1030,64,5
1031,482,5
1032,1,5
1033,79,5
1034,91,2
1035,81,4
1036,153,5
1037,66,5
1038,33,5
1039,30,4
1040,36,2
1041,16,5
1042,16,5
1043,78,5
1044,149,2
1045,184,5
1046,27,3
1047,124,5
1048,27,4
1049,9,5
1050,62,5
1051,9,4
1052,71,5
1053,29,3
1054,91,3
1055,50,4
1056,88,4
1057,78,5
1058,125,4
1059,64,5
1060,4,5
1061,29,4
1062,45,4
1063,79,5
1064,77,3
1065,455,2
1066,57,5
1067,288,5
1068,41,5
1069,14,5
1070,114,3
1071,75,4
1072,13,3
1073,4,5
1074,2,5
1075,47,3
1076,361,4
1077,85,5
1078,2,5
1079,298,2
1080,9,3
1081,66,4
1082,38,4
1083,61,4
1084,123,4
1085,78,4
1086,2,4
1087,13,2
1088,28,5
1089,17,4
1090,65,5
1091,91,5
1092,82,4
1093,90,4
1094,58,3
1095,196,3
1096,247,4
1097,4,3
1098,86,5
1099,100,5
1100,91,5
1101,85,5
1102,57,4
1103,7,4
1104,83,5
1105,99,5
1106,41,4
1107,54,5
1108,63,4
1109,70,3
1110,7,4
1111,54,3
1112,90,5
1113,3,4
1114,25,4
1115,62,5
1116,95,4
1117,3,5
1118,3,5
