,0,1,2,3,4
238,Subaru,Legacy,mechanical,green,250000
239,Subaru,Forester,automatic,blue,179000
240,Subaru,Legacy,automatic,grey,999999
241,Subaru,Forester,mechanical,green,270000
242,Subaru,XV,automatic,green,200000
243,Subaru,Impreza,automatic,green,465000
244,Subaru,Outback,automatic,black,298533
245,Subaru,Legacy,automatic,silver,300000
246,Subaru,Impreza,automatic,grey,138404
247,Subaru,Tribeca,automatic,silver,140000
248,Subaru,Forester,mechanical,green,276807
249,Subaru,Forester,automatic,white,176000
250,Subaru,Legacy,mechanical,blue,140000
251,Subaru,Forester,automatic,blue,160000
252,Subaru,Forester,automatic,blue,595457
253,Subaru,Impreza,mechanical,silver,58270
254,Subaru,Impreza,automatic,silver,222000
255,Subaru,Impreza,mechanical,blue,172000
256,Subaru,Impreza,automatic,silver,274000
257,Subaru,Legacy,mechanical,blue,329916
258,Subaru,Legacy,automatic,white,260000
259,Subaru,Outback,mechanical,black,234000
260,Subaru,Legacy,automatic,other,280000
261,Subaru,Tribeca,automatic,blue,300947
262,Subaru,Forester,mechanical,white,280000
263,Subaru,Forester,automatic,blue,156000
264,Subaru,Outback,mechanical,other,200000
265,Subaru,Impreza,mechanical,red,368000
266,Subaru,Outback,automatic,silver,299000
267,Subaru,Impreza,mechanical,blue,164000
268,Subaru,Forester,automatic,white,140013
269,Subaru,Outback,automatic,blue,232000
270,Subaru,Tribeca,automatic,grey,257495
271,Subaru,Forester,automatic,silver,120000
272,Subaru,Outback,automatic,green,304166
273,Subaru,Forester,automatic,green,257500
274,Subaru,Outback,automatic,other,145000
275,Subaru,Forester,automatic,green,265000
276,Subaru,Impreza,automatic,grey,142000
277,Subaru,Outback,automatic,green,260000
278,Subaru,Tribeca,automatic,grey,241402
279,Subaru,Outback,automatic,black,289682
280,Subaru,Legacy,mechanical,red,212997
281,Subaru,Forester,automatic,grey,79000
282,Subaru,Legacy,automatic,silver,386243
283,Subaru,Tribeca,automatic,black,237000
